"","ID","march_max_temp.ID","march_max_temp.CHELSA_tasmax_03_2018_V.2.1","ID.1","april_max_temp","ID.2","march_min_temp","ID.3","april_min_temp","ID.4","dec_mean_temp","ID.5","nov_mean_temp","ID.6","jan_mean_temp","ID.7","feb_mean_temp","ID.8","march_mean_temp","ID.9","april_mean_temp"
"1",1,0.01,30.66,1,30.96,1,29.15,1,29.64,1,29.1,1,29.53,1,28.69,1,29.36,1,29.95,1,30.34
"2",2,0.02,30.65,2,30.95,2,29.15,2,29.63,2,29.1,2,29.54,2,28.69,2,29.35,2,29.94,2,30.33
"3",3,0.03,30.65,3,30.95,3,29.15,3,29.63,3,29.1,3,29.54,3,28.69,3,29.35,3,29.94,3,30.33
"4",4,0.04,30.65,4,30.95,4,29.15,4,29.63,4,29.1,4,29.54,4,28.69,4,29.35,4,29.94,4,30.33
"5",5,0.05,30.66,5,30.96,5,29.16,5,29.64,5,29.1,5,29.54,5,28.69,5,29.35,5,29.95,5,30.34
"6",6,0.06,30.66,6,30.95,6,29.16,6,29.64,6,29.1,6,29.54,6,28.69,6,29.35,6,29.95,6,30.34
"7",7,0.07,30.66,7,30.96,7,29.16,7,29.64,7,29.1,7,29.54,7,28.69,7,29.35,7,29.95,7,30.34
"8",8,0.08,30.66,8,30.96,8,29.16,8,29.64,8,29.1,8,29.54,8,28.69,8,29.35,8,29.95,8,30.34
"9",9,0.09,30.66,9,30.95,9,29.16,9,29.64,9,29.1,9,29.54,9,28.69,9,29.35,9,29.95,9,30.34
"10",10,0.1,30.68,10,30.98,10,29.15,10,29.64,10,29.09,10,29.52,10,28.69,10,29.36,10,29.95,10,30.35
"11",11,0.11,30.65,11,30.95,11,29.15,11,29.63,11,29.1,11,29.53,11,28.69,11,29.35,11,29.94,11,30.34
"12",12,0.12,30.65,12,30.95,12,29.15,12,29.63,12,29.1,12,29.53,12,28.69,12,29.35,12,29.94,12,30.34
"13",13,0.13,30.65,13,30.95,13,29.15,13,29.63,13,29.1,13,29.53,13,28.69,13,29.35,13,29.94,13,30.34
"14",14,0.14,30.67,14,30.95,14,29.16,14,29.64,14,29.1,14,29.54,14,28.69,14,29.35,14,29.95,14,30.34
"15",15,0.15,30.68,15,30.95,15,29.17,15,29.64,15,29.1,15,29.54,15,28.7,15,29.35,15,29.95,15,30.34
"16",16,0.16,30.66,16,30.94,16,29.16,16,29.64,16,29.1,16,29.55,16,28.69,16,29.35,16,29.95,16,30.33
"17",17,0.17,30.68,17,30.95,17,29.16,17,29.64,17,29.1,17,29.54,17,28.69,17,29.35,17,29.95,17,30.34
"18",18,0.18,30.69,18,30.98,18,29.15,18,29.64,18,29.09,18,29.52,18,28.69,18,29.36,18,29.96,18,30.36
"19",19,0.19,30.69,19,30.97,19,29.15,19,29.64,19,29.09,19,29.52,19,28.69,19,29.36,19,29.96,19,30.35
"20",20,0.2,30.71,20,31.01,20,29.15,20,29.64,20,29.08,20,29.49,20,28.7,20,29.37,20,29.97,20,30.38
"21",21,0.21,30.7,21,31,21,29.14,21,29.64,21,29.08,21,29.5,21,28.69,21,29.37,21,29.97,21,30.37
"22",22,0.22,30.7,22,31,22,29.14,22,29.64,22,29.08,22,29.5,22,28.69,22,29.37,22,29.97,22,30.37
"23",23,0.23,30.7,23,30.98,23,29.15,23,29.63,23,29.08,23,29.5,23,28.69,23,29.36,23,29.96,23,30.36
"24",24,0.24,30.7,24,31,24,29.14,24,29.64,24,29.08,24,29.5,24,28.69,24,29.37,24,29.97,24,30.37
"25",25,0.25,30.7,25,30.98,25,29.15,25,29.63,25,29.08,25,29.5,25,28.69,25,29.36,25,29.96,25,30.36
"26",26,0.26,30.68,26,30.98,26,29.15,26,29.64,26,29.09,26,29.52,26,28.69,26,29.36,26,29.95,26,30.35
"27",27,0.27,30.7,27,31.01,27,29.15,27,29.64,27,29.09,27,29.5,27,28.69,27,29.37,27,29.97,27,30.37
"28",28,0.28,30.7,28,30.99,28,29.15,28,29.64,28,29.08,28,29.5,28,28.69,28,29.36,28,29.96,28,30.36
"29",29,0.29,30.7,29,31,29,29.14,29,29.64,29,29.08,29,29.5,29,28.69,29,29.37,29,29.97,29,30.37
"30",30,0.3,30.68,30,30.98,30,29.15,30,29.64,30,29.09,30,29.52,30,28.69,30,29.36,30,29.96,30,30.36
"31",31,0.31,30.71,31,31.01,31,29.15,31,29.64,31,29.08,31,29.49,31,28.7,31,29.37,31,29.97,31,30.38
"32",32,0.32,30.7,32,30.99,32,29.15,32,29.63,32,29.08,32,29.5,32,28.69,32,29.36,32,29.96,32,30.36
"33",33,0.33,30.69,33,30.98,33,29.15,33,29.63,33,29.08,33,29.51,33,28.69,33,29.36,33,29.96,33,30.35
"34",34,0.34,30.69,34,30.98,34,29.15,34,29.64,34,29.09,34,29.52,34,28.69,34,29.36,34,29.96,34,30.36
"35",35,0.35,30.66,35,30.94,35,29.16,35,29.64,35,29.1,35,29.55,35,28.69,35,29.35,35,29.95,35,30.33
"36",36,0.36,30.7,36,30.99,36,29.15,36,29.63,36,29.08,36,29.49,36,28.69,36,29.36,36,29.96,36,30.36
"37",37,0.37,30.71,37,31.01,37,29.15,37,29.64,37,29.08,37,29.49,37,28.7,37,29.37,37,29.97,37,30.38
